invoice_id,invoice_period,account_id,market_code,custodian,invoice_currency,taxable_base_eur,withholding_tax_eur,custody_fee_eur,market_fee_eur,stamp_duty_eur,vat_eur,total_invoice_eur,invoice_status,paid_date,late_payment_flag
INV0000001,2025-11-30,ACCT00001,XAMS,J.P. Morgan Custody,EUR,34025.79,2.15,2.91,3.16,0.0,1.21,9.43,PAID,2025-12-19,0
INV0000002,2025-11-30,ACCT00001,XETR,J.P. Morgan Custody,EUR,90555.15,9.45,6.73,6.44,0.0,2.63,25.25,ISSUED,,0
INV0000003,2025-11-30,ACCT00001,XNAS,J.P. Morgan Custody,EUR,17968.93,4.27,1.77,3.05,0.0,0.96,10.05,PAID,2025-12-15,0
INV0000004,2025-11-30,ACCT00001,XSWX,J.P. Morgan Custody,EUR,59646.81,16.99,7.05,8.33,0.0,3.08,35.45,PAID,2025-12-26,0
INV0000005,2025-11-30,ACCT00002,XAMS,J.P. Morgan Custody,EUR,44705.54,2.45,4.04,4.19,0.0,1.65,12.33,PAID,2025-12-21,0
INV0000006,2025-11-30,ACCT00002,XETR,J.P. Morgan Custody,EUR,67624.12,6.42,5.09,4.76,0.0,1.97,18.24,PAID,2025-12-19,0
INV0000007,2025-11-30,ACCT00002,XPAR,J.P. Morgan Custody,EUR,16438.21,1.72,1.56,2.54,0.85,0.82,7.49,ISSUED,,0
INV0000008,2025-11-30,ACCT00002,XSWX,J.P. Morgan Custody,EUR,223369.27,39.76,26.53,26.37,0.0,10.58,103.24,ISSUED,,0
INV0000009,2025-11-30,ACCT00003,XAMS,Euroclear,EUR,402749.44,18.55,33.85,34.53,0.0,13.68,100.61,PAID,2025-12-25,0
INV0000010,2025-11-30,ACCT00003,XETR,Euroclear,EUR,452837.73,37.91,35.43,32.13,0.0,13.51,118.98,OVERDUE,,1
INV0000011,2025-11-30,ACCT00003,XSWX,Euroclear,EUR,946930.24,154.14,108.22,107.09,13.91,43.06,426.42,PAID,2025-12-11,0
INV0000012,2025-11-30,ACCT00004,XAMS,BNP Paribas Securities Services,EUR,27551.62,1.78,2.46,2.67,0.0,1.03,7.94,PAID,2025-12-11,0
INV0000013,2025-11-30,ACCT00004,XETR,BNP Paribas Securities Services,EUR,69799.31,11.57,5.27,5.87,0.0,2.23,24.94,PAID,2025-12-22,0
INV0000014,2025-11-30,ACCT00004,XPAR,BNP Paribas Securities Services,EUR,13575.4,1.49,1.35,2.2,0.74,0.71,6.49,PAID,2025-12-24,0
INV0000015,2025-11-30,ACCT00004,XSWX,BNP Paribas Securities Services,EUR,65422.83,17.69,7.47,8.84,0.0,3.26,37.26,PAID,2025-12-16,0
INV0000016,2025-11-30,ACCT00005,XAMS,Clearstream,EUR,141823.15,7.29,12.68,12.93,0.0,0.0,32.9,PAID,2025-12-11,0
INV0000017,2025-11-30,ACCT00005,XETR,Clearstream,EUR,399440.35,71.03,32.2,35.82,0.0,0.0,139.05,OVERDUE,,1
INV0000018,2025-11-30,ACCT00005,XNAS,Clearstream,EUR,251095.52,62.86,26.25,45.15,0.0,0.0,134.26,PAID,2025-12-05,0
INV0000019,2025-11-30,ACCT00005,XSWX,Clearstream,EUR,50566.76,14.7,6.14,7.26,0.0,0.0,28.1,PAID,2025-12-16,0
INV0000020,2025-11-30,ACCT00006,XETR,BNP Paribas Securities Services,EUR,1689003.68,273.17,134.25,144.6,0.0,55.77,607.79,PAID,2025-12-14,0
INV0000021,2025-11-30,ACCT00006,XNAS,BNP Paribas Securities Services,EUR,350332.79,85.86,35.59,61.21,0.0,19.36,202.02,PAID,2025-12-08,0
INV0000022,2025-11-30,ACCT00006,XPAR,BNP Paribas Securities Services,EUR,217966.3,23.16,20.63,33.53,0.0,10.83,88.15,PAID,2025-12-25,0
INV0000023,2025-11-30,ACCT00006,XSWX,BNP Paribas Securities Services,EUR,44396.36,13.53,5.61,6.63,0.0,2.45,28.22,OVERDUE,,1
INV0000024,2025-11-30,ACCT00007,XAMS,SIX SIS,EUR,213799.48,10.8,18.65,19.03,0.0,7.54,56.02,PAID,2025-12-16,0
INV0000025,2025-11-30,ACCT00007,XETR,SIX SIS,EUR,229439.03,19.29,17.05,15.46,0.0,6.5,58.3,PAID,2025-12-22,0
INV0000026,2025-11-30,ACCT00007,XNAS,SIX SIS,EUR,52764.84,12.78,5.3,9.11,0.0,2.88,30.07,PAID,2025-12-15,0
INV0000027,2025-11-30,ACCT00007,XSWX,SIX SIS,EUR,268020.24,61.31,31.28,33.98,0.0,13.05,139.62,PAID,2025-12-10,0
INV0000028,2025-11-30,ACCT00008,XAMS,Euroclear,EUR,80125.26,3.6,6.7,6.83,0.0,2.71,19.84,PAID,2025-12-16,0
INV0000029,2025-11-30,ACCT00008,XETR,Euroclear,EUR,132027.46,18.67,10.38,10.99,0.0,4.27,44.31,PAID,2025-12-24,0
INV0000030,2025-11-30,ACCT00008,XNAS,Euroclear,EUR,115996.79,27.88,12.46,21.43,0.0,6.78,68.55,PAID,2025-12-18,0
INV0000031,2025-11-30,ACCT00008,XPAR,Euroclear,EUR,18896.01,1.9,1.82,2.96,0.0,0.96,7.64,PAID,2025-12-26,0
INV0000032,2025-11-30,ACCT00008,XSWX,Euroclear,EUR,87678.51,22.62,10.11,11.96,0.0,4.41,49.1,PAID,2025-12-18,0
INV0000033,2025-11-30,ACCT00009,XAMS,Clearstream,EUR,112492.85,5.19,9.12,9.3,0.0,3.68,27.29,PAID,2025-12-27,0
INV0000034,2025-11-30,ACCT00009,XETR,Clearstream,EUR,185588.54,15.87,14.29,12.95,0.0,5.45,48.56,PAID,2025-12-08,0
INV0000035,2025-11-30,ACCT00009,XNAS,Clearstream,EUR,199335.58,51.27,21.64,37.22,0.0,11.77,121.9,OVERDUE,,1
INV0000036,2025-11-30,ACCT00009,XSWX,Clearstream,EUR,21871.46,6.46,2.73,3.23,0.0,1.19,13.61,ISSUED,,0
INV0000037,2025-11-30,ACCT00010,XAMS,J.P. Morgan Custody,EUR,151828.27,7.26,13.24,13.51,0.0,5.35,39.36,PAID,2025-12-25,0
INV0000038,2025-11-30,ACCT00010,XETR,J.P. Morgan Custody,EUR,189184.37,15.43,14.42,13.08,0.0,5.5,48.43,PAID,2025-12-18,0
INV0000039,2025-11-30,ACCT00010,XNAS,J.P. Morgan Custody,EUR,34540.66,8.49,3.72,6.4,0.0,2.02,20.63,PAID,2025-12-28,0
INV0000040,2025-11-30,ACCT00010,XSWX,J.P. Morgan Custody,EUR,337568.91,63.59,38.47,40.05,4.95,15.7,162.76,PAID,2025-12-22,0
INV0000041,2025-11-30,ACCT00011,XAMS,Euroclear,EUR,48089.41,2.29,4.17,4.26,0.0,1.69,12.41,PAID,2025-12-19,0
INV0000042,2025-11-30,ACCT00011,XETR,Euroclear,EUR,56649.64,4.46,4.16,3.78,0.0,1.59,13.99,PAID,2025-12-06,0
INV0000043,2025-11-30,ACCT00011,XPAR,Euroclear,EUR,173146.03,16.75,15.78,25.65,0.0,8.29,66.47,PAID,2025-12-18,0
INV0000044,2025-11-30,ACCT00011,XSWX,Euroclear,EUR,204805.05,21.74,23.82,20.83,3.06,8.93,78.38,PAID,2025-12-19,0
INV0000045,2025-11-30,ACCT00012,XAMS,SIX SIS,EUR,1409732.35,94.9,119.06,135.27,0.0,50.87,400.1,PAID,2025-12-08,0
INV0000046,2025-11-30,ACCT00012,XETR,SIX SIS,EUR,1155478.85,139.63,87.63,89.15,0.0,35.36,351.77,PAID,2025-12-20,0
INV0000047,2025-11-30,ACCT00012,XNAS,SIX SIS,EUR,694868.34,157.02,70.18,120.7,0.0,38.18,386.08,OVERDUE,,1
INV0000048,2025-11-30,ACCT00012,XSWX,SIX SIS,EUR,41452.15,10.94,4.89,5.78,0.0,2.13,23.74,PAID,2025-12-19,0
INV0000049,2025-11-30,ACCT00013,XAMS,BNP Paribas Securities Services,EUR,242920.28,29.88,20.64,28.48,0.0,9.82,88.82,PAID,2025-12-25,0
INV0000050,2025-11-30,ACCT00013,XETR,BNP Paribas Securities Services,EUR,642657.56,82.49,46.86,48.05,0.0,18.98,196.38,PAID,2025-12-28,0
INV0000051,2025-11-30,ACCT00013,XPAR,BNP Paribas Securities Services,EUR,100872.71,10.38,9.24,15.02,0.0,4.85,39.49,PAID,2025-12-16,0
INV0000052,2025-11-30,ACCT00013,XSWX,BNP Paribas Securities Services,EUR,914991.8,156.47,106.17,104.34,0.0,42.1,409.08,PAID,2025-12-21,0
INV0000053,2025-11-30,ACCT00014,XAMS,J.P. Morgan Custody,EUR,1953722.25,92.14,160.25,163.46,0.0,0.0,415.85,PAID,2025-12-26,0
INV0000054,2025-11-30,ACCT00014,XETR,J.P. Morgan Custody,EUR,3921148.68,350.06,311.62,282.54,0.0,0.0,944.22,PAID,2025-12-18,0
INV0000055,2025-11-30,ACCT00014,XNAS,J.P. Morgan Custody,EUR,1908540.01,491.91,205.39,353.27,0.0,0.0,1050.57,PAID,2025-12-05,0
INV0000056,2025-11-30,ACCT00014,XSWX,J.P. Morgan Custody,EUR,1442937.82,243.09,172.99,167.86,0.0,0.0,583.94,ISSUED,,0
INV0000057,2025-11-30,ACCT00015,XAMS,BNP Paribas Securities Services,EUR,2501066.51,121.44,213.43,217.7,0.0,86.23,638.8,PAID,2025-12-05,0
INV0000058,2025-11-30,ACCT00015,XETR,BNP Paribas Securities Services,EUR,1352714.09,111.48,100.33,90.96,0.0,38.26,341.03,PAID,2025-12-16,0
INV0000059,2025-11-30,ACCT00015,XNAS,BNP Paribas Securities Services,EUR,1228060.0,300.31,126.76,218.03,0.0,68.96,714.06,ISSUED,,0
INV0000060,2025-11-30,ACCT00015,XSWX,BNP Paribas Securities Services,EUR,1355791.03,381.21,160.94,190.37,0.0,70.26,802.78,PAID,2025-12-28,0
INV0000061,2025-11-30,ACCT00016,XAMS,BNP Paribas Securities Services,EUR,42934.71,2.04,3.66,3.73,0.0,1.48,10.91,PAID,2025-12-15,0
INV0000062,2025-11-30,ACCT00016,XETR,BNP Paribas Securities Services,EUR,126286.88,12.84,10.25,9.62,0.0,3.97,36.68,PAID,2025-12-23,0
INV0000063,2025-11-30,ACCT00016,XPAR,BNP Paribas Securities Services,EUR,28684.58,2.88,2.66,4.33,0.0,1.4,11.27,OVERDUE,,1
INV0000064,2025-11-30,ACCT00016,XSWX,BNP Paribas Securities Services,EUR,581236.51,81.74,67.07,62.92,0.0,26.0,237.73,PAID,2025-12-17,0
INV0000065,2025-11-30,ACCT00017,XAMS,Euroclear,EUR,67810.55,3.43,6.03,6.15,0.0,2.44,18.05,PAID,2025-12-25,0
INV0000066,2025-11-30,ACCT00017,XETR,Euroclear,EUR,100641.5,11.33,7.66,7.49,0.0,3.03,29.51,PAID,2025-12-06,0
INV0000067,2025-11-30,ACCT00017,XSWX,Euroclear,EUR,148557.21,29.03,17.59,18.06,0.0,7.13,71.81,ISSUED,,0
INV0000068,2025-11-30,ACCT00018,XAMS,SIX SIS,EUR,124168.54,7.24,11.03,11.61,0.0,4.53,34.41,PAID,2025-12-09,0
INV0000069,2025-11-30,ACCT00018,XETR,SIX SIS,EUR,264352.66,28.4,21.24,20.08,0.0,8.26,77.98,ISSUED,,0
INV0000070,2025-11-30,ACCT00018,XSWX,SIX SIS,EUR,247708.33,46.86,28.12,28.79,0.0,11.38,115.15,PAID,2025-12-28,0
INV0000071,2025-11-30,ACCT00019,XAMS,SIX SIS,EUR,86368.39,4.01,7.47,7.62,0.0,3.02,22.12,PAID,2025-12-15,0
INV0000072,2025-11-30,ACCT00019,XETR,SIX SIS,EUR,169612.46,25.29,13.46,14.48,0.0,5.59,58.82,PAID,2025-12-18,0
INV0000073,2025-11-30,ACCT00019,XPAR,SIX SIS,EUR,31455.87,3.2,3.07,4.99,0.0,1.61,12.87,PAID,2025-12-27,0
INV0000074,2025-11-30,ACCT00019,XSWX,SIX SIS,EUR,340424.04,44.32,39.98,36.92,0.0,15.38,136.6,ISSUED,,0
INV0000075,2025-11-30,ACCT00020,XAMS,J.P. Morgan Custody,EUR,994206.39,47.76,83.94,85.62,0.0,33.91,251.23,PAID,2025-12-25,0
INV0000076,2025-11-30,ACCT00020,XETR,J.P. Morgan Custody,EUR,312488.15,65.68,23.65,29.02,0.0,10.53,128.88,PAID,2025-12-17,0
INV0000077,2025-11-30,ACCT00020,XNAS,J.P. Morgan Custody,EUR,221337.04,56.4,23.81,40.95,0.0,12.95,134.11,ISSUED,,0
INV0000078,2025-11-30,ACCT00020,XSWX,J.P. Morgan Custody,EUR,913967.79,248.02,104.71,123.86,0.0,45.71,522.3,PAID,2025-12-13,0
INV0000079,2025-11-30,ACCT00021,XAMS,BNP Paribas Securities Services,EUR,210155.45,10.35,18.19,18.55,0.0,7.35,54.44,ISSUED,,0
INV0000080,2025-11-30,ACCT00021,XETR,BNP Paribas Securities Services,EUR,228362.77,19.94,17.94,16.27,0.0,6.84,60.99,PAID,2025-12-15,0
INV0000081,2025-11-30,ACCT00021,XPAR,BNP Paribas Securities Services,EUR,8737.9,0.91,0.83,1.34,0.45,0.43,3.96,PAID,2025-12-07,0
INV0000082,2025-11-30,ACCT00021,XSWX,BNP Paribas Securities Services,EUR,278857.69,80.03,33.79,39.96,0.0,14.75,168.53,PAID,2025-12-05,0
INV0000083,2025-11-30,ACCT00022,XETR,Euroclear,EUR,263079.91,32.97,19.44,19.7,0.0,7.83,79.94,PAID,2025-12-23,0
INV0000084,2025-11-30,ACCT00022,XNAS,Euroclear,EUR,13620.05,3.21,1.33,2.29,0.0,0.72,7.55,PAID,2025-12-24,0
INV0000085,2025-11-30,ACCT00022,XSWX,Euroclear,EUR,239882.93,49.46,29.35,30.17,0.0,11.9,120.88,PAID,2025-12-07,0
INV0000086,2025-11-30,ACCT00023,XAMS,J.P. Morgan Custody,EUR,120504.29,5.63,9.89,10.09,0.0,4.0,29.61,PAID,2025-12-05,0
INV0000087,2025-11-30,ACCT00023,XETR,J.P. Morgan Custody,EUR,329111.7,27.26,24.54,22.25,0.0,9.36,83.41,PAID,2025-12-09,0
