snapshot_date,account_id,instrument_id,ticker,isin,instrument_type,market_code,position_currency,quantity,price_local,fx_to_eur,market_value_eur,custodian
2025-05-31,ACCT00001,INS001,AAPL,US0378331005,Equity,XNAS,USD,69,231.0862,0.8825,14071.42,J.P. Morgan Custody
2025-05-31,ACCT00001,INS003,ASML,NL0010273215,Equity,XAMS,EUR,8,859.5191,1.0,6876.15,J.P. Morgan Custody
2025-05-31,ACCT00001,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,43,578.9223,1.0,24893.66,J.P. Morgan Custody
2025-05-31,ACCT00001,INS005,NOVN,CH0012005267,Equity,XSWX,CHF,242,106.7366,0.9792,25292.99,J.P. Morgan Custody
2025-05-31,ACCT00001,INS006,RO,CH0012032113,Equity,XSWX,CHF,38,307.0286,0.9792,11424.41,J.P. Morgan Custody
2025-05-31,ACCT00001,INS008,SAP,DE0007164600,Equity,XETR,EUR,77,192.0355,1.0,14786.73,J.P. Morgan Custody
2025-05-31,ACCT00001,INS009,UBSG,CH0244767585,Equity,XSWX,CHF,691,29.7088,0.9792,20101.81,J.P. Morgan Custody
2025-05-31,ACCT00001,INS011,VWCE,IE00BK5BQT80,ETF,XETR,EUR,542,125.3521,1.0,67940.84,J.P. Morgan Custody
2025-05-31,ACCT00002,INS012,AGGG,IE00B3F81409,ETF,XSWX,USD,35784,4.3531,0.8825,137467.81,J.P. Morgan Custody
2025-05-31,ACCT00002,INS003,ASML,NL0010273215,Equity,XAMS,EUR,1,859.5191,1.0,859.52,J.P. Morgan Custody
2025-05-31,ACCT00002,INS010,CSPX,IE00B5BMR087,ETF,XAMS,EUR,78,578.9223,1.0,45155.94,J.P. Morgan Custody
2025-05-31,ACCT00002,INS004,NESN,CH0038863350,Equity,XSWX,CHF,575,82.7524,0.9792,46592.94,J.P. Morgan Custody
2025-05-31,ACCT00002,INS005,NOVN,CH0012005267,Equity,XSWX,CHF,407,106.7366,0.9792,42538.22,J.P. Morgan Custody
2025-05-31,ACCT00002,INS008,SAP,DE0007164600,Equity,XETR,EUR,27,192.0355,1.0,5184.96,J.P. Morgan Custody
2025-05-31,ACCT00002,INS007,TTE,FR0000120271,Equity,XPAR,EUR,226,76.567,1.0,17304.14,J.P. Morgan Custody
