transaction_date,account_id,instrument_id,ticker,isin,transaction_type,quantity,price,position_currency
2025-06-02,ACCT00005,INS002,MSFT,US5949181045,BUY,2,373.4811,USD
2025-06-02,ACCT00007,INS012,AGGG,IE00B3F81409,SELL,129,4.3717,USD
2025-06-02,ACCT00009,INS002,MSFT,US5949181045,BUY,1,368.9713,USD
2025-06-02,ACCT00011,INS007,TTE,FR0000120271,SELL,28,76.1894,EUR
2025-06-02,ACCT00012,INS002,MSFT,US5949181045,SELL,11,357.8846,USD
2025-06-02,ACCT00012,INS011,VWCE,IE00BK5BQT80,BUY,142,126.715,EUR
2025-06-02,ACCT00015,INS011,VWCE,IE00BK5BQT80,BUY,10,127.7659,EUR
2025-06-02,ACCT00018,INS012,AGGG,IE00B3F81409,SELL,12,4.4215,USD
2025-06-02,ACCT00029,INS008,SAP,DE0007164600,SELL,1,190.8358,EUR
2025-06-02,ACCT00029,INS012,AGGG,IE00B3F81409,SELL,102,4.3654,USD
2025-06-02,ACCT00035,INS009,UBSG,CH0244767585,BUY,14,29.6939,CHF
2025-06-02,ACCT00037,INS004,NESN,CH0038863350,BUY,5,81.4006,CHF
2025-06-02,ACCT00037,INS007,TTE,FR0000120271,SELL,2,75.4498,EUR
2025-06-02,ACCT00037,INS009,UBSG,CH0244767585,BUY,1,30.2382,CHF
2025-06-02,ACCT00038,INS005,NOVN,CH0012005267,SELL,25,106.9391,CHF
2025-06-02,ACCT00039,INS010,CSPX,IE00B5BMR087,BUY,11,577.4369,EUR
2025-06-02,ACCT00040,INS007,TTE,FR0000120271,BUY,1,78.0709,EUR
2025-06-02,ACCT00041,INS012,AGGG,IE00B3F81409,SELL,520,4.3268,USD
2025-06-02,ACCT00043,INS008,SAP,DE0007164600,BUY,14,200.7333,EUR
2025-06-02,ACCT00044,INS006,RO,CH0012032113,SELL,1,305.6955,CHF
2025-06-02,ACCT00047,INS007,TTE,FR0000120271,BUY,1,77.0866,EUR
2025-06-02,ACCT00048,INS012,AGGG,IE00B3F81409,BUY,37,4.4612,USD
2025-06-02,ACCT00049,INS009,UBSG,CH0244767585,BUY,3,29.9316,CHF
2025-06-02,ACCT00054,INS012,AGGG,IE00B3F81409,SELL,28,4.3269,USD
2025-06-02,ACCT00057,INS001,AAPL,US0378331005,SELL,48,232.348,USD
2025-06-02,ACCT00059,INS012,AGGG,IE00B3F81409,SELL,19,4.348,USD
2025-06-02,ACCT00064,INS004,NESN,CH0038863350,BUY,5,79.8016,CHF
2025-06-02,ACCT00064,INS012,AGGG,IE00B3F81409,BUY,35,4.3235,USD
